Command	INDEX_TABLE				
Title	破产指数表				
Column/Name	破产指数@2016/12/31	Y2016			
Scope0	and corpId in ('600309','600315','002450','600585','000869','600129','601088','600600','600660','603630','000651','000333','600664','600276','300498','000848')				
Scope1	and corpId in ('600664','600276','601607','000538','600129','300498')				
Data					
CORP	NAME	Y2016			
000002	万  科Ａ	3.90			
000004	国农科技	449.94			
000005	世纪星源	30.71			
000006	深振业Ａ	14.16			
000007	全新好	320.78			
000008	神州高铁	70.90			
000009	中国宝安	9.95			
000010	美丽生态	11.92			
000011	深物业A	21.16			
000012	南  玻Ａ	13.61			
000014	沙河股份	26.60			
000016	深康佳Ａ	5.41			
000017	深中华A	808.73			
000018	神州长城	16.99			
000019	深深宝Ａ	326.44			
000020	深华发Ａ	116.67			
000021	深科技	14.30			
000022	深赤湾Ａ	123.14			
000023	深天地Ａ	22.98			
000025	特  力Ａ	360.72			
000026	飞亚达Ａ	24.68			
000027	深圳能源	5.13			
000028	国药一致	17.66			
000029	深深房Ａ	64.12			
000030	富奥股份	25.64			
000031	中粮地产	4.30			
000032	深桑达Ａ	114.35			
000033	新都退	18.04			
000034	神州数码	8.54			
000035	中国天楹	3.19			
000036	华联控股	14.43			
000037	深南电A	19.76			
000038	深大通	57.10			
000039	中集集团	4.96			
000040	东旭蓝天	21.33			
000042	中洲控股	5.87			
000043	中航地产	3.88			
000045	深纺织Ａ	64.22			
000046	泛海控股	5.01			
000048	康达尔	62.84			
000049	德赛电池	21.13			
000050	深天马Ａ	22.85			
000053	深基地Ｂ				
000054	建摩B				
000055	方大集团	11.53			
000056	皇庭国际	19.07			
000058	深 赛 格	54.04			
000059	华锦股份	4.46			
000060	中金岭南	18.62			
000061	农 产 品	8.35			
000062	深圳华强	51.40			
000063	中兴通讯	7.06			
000065	北方国际	11.68			
000066	中国长城	3.88			
000068	华控赛格	87.62			
000069	华侨城Ａ	7.52			
000070	特发信息	9.65			
000078	海王生物	11.72			
000088	盐 田 港	82.84			
000089	深圳机场	74.96			
000090	天健集团	9.45			
000096	广聚能源	425.11			
000099	中信海直	24.32			
000100	TCL 集团	3.37			
000150	宜华健康	16.81			
000151	中成股份	41.04			
000152	山  航Ｂ				
000153	丰原药业	19.84			
000155	*ST川化				
000156	华数传媒	41.74			
000157	中联重科	8.16			
000158	常山股份	19.54			
000159	国际实业	26.73			
000160	东沣B				
000166	申万宏源	3.71			
000168	舜喆B				
000301	东方市场	29.42			
000333	美的集团	18.80			
000338	潍柴动力	3.90			
000400	许继电气	20.89			
000401	冀东水泥	3.66			
000402	金 融 街	6.34			
000403	ST生化	76.60			
000404	华意压缩	7.50			
000407	胜利股份	33.86			
000408	金谷源	139.50			
000409	山东地矿	4.26			
000410	*ST沈机	1.88			
000411	英特集团	7.01			
000413	东旭光电	18.54			
000415	渤海金控	1.51			
000416	民生控股	1623.67			
000417	合肥百货	9.78			
000418	小天鹅Ａ	19.67			
000419	通程控股	14.47			
000420	吉林化纤	20.61			
000421	南京公用	8.45			
000422	湖北宜化	-0.51			
000423	东阿阿胶	205.14			
000425	徐工机械	9.59			
000426	兴业矿业	21.13			
000428	华天酒店	5.12			
000429	粤高速Ａ	18.56			
000430	张家界	13.95			
000468	*ST宁通B				
000488	晨鸣纸业	2.32			
000498	山东路桥	8.65			
000501	鄂武商Ａ	4.77			
000502	绿景控股	42.99			
000503	海虹控股	1909.77			
000504	南华生物	201.61			
000505	珠江控股	18.54			
000506	中润资源	34.94			
000507	珠海港	25.05			
000509	华塑控股	96.78			
000510	金路集团	67.79			
000511	*ST烯碳				
000512	闽灿坤Ｂ				
000513	丽珠集团	57.90			
000514	渝 开 发	17.13			
000516	国际医学	37.74			
000517	荣安地产	16.49			
000518	四环生物	122.28			
000519	中兵红箭	42.70			
000520	长航凤凰	143.47			
000521	美菱电器	7.95			
000523	广州浪奇	15.62			
000524	岭南控股	102.13			
000525	红 太 阳	11.76			
000526	*ST紫学	3.04			
000528	柳    工	7.39			
000529	广弘控股	111.97			
000530	大冷股份	18.42			
000531	穗恒运Ａ	9.52			
000532	华金资本	28.90			
000533	万 家 乐	43.43			
000534	万泽股份	48.08			
000536	华映科技	14.71			
000537	广宇发展	5.31			
000538	云南白药	81.18			
000539	粤电力Ａ	4.69			
000540	中天金融	6.70			
000541	佛山照明	75.51			
000543	皖能电力	5.30			
000544	中原环保	93.37			
000545	金浦钛业	47.48			
000546	金圆股份	15.07			
000547	航天发展	11.37			
000548	湖南投资	33.77			
000550	江铃汽车	12.92			
000551	创元科技	16.27			
000552	靖远煤电	20.68			
